CODE,ZONE,STATE,TOWN,PROVIDER,ADDRESS,CAT,PLAN,SPECIALTY
7000621,SOUTH WEST,LAGOS,IKOTUN,PRIMEX HOSPITAL,"58, IGANDO ROAD, UNITY BUS STOP, IKOTUN, LAGOS",C,PRO & HIGHER,GENERAL MEDICINE
90129225,SOUTH WEST,LAGOS,GBAGADA,PRIMROSE HOSPITAL,"PLOT 308 ENGR. ADEBIMPE BODURIN CLOSE, OFF LANRE AWOLOKUN STREET",D,ALL PLANS ,GENERAL MEDICINE
6800017,SOUTH WEST,LAGOS,GBAGADA,PRIMROSE SPECIALIST HOSPITAL,"34 OLUSOLA OLUDE CLOSE, OFF LANRE AWOLOKUN STREET, GBAGADA PHASE 2",B,MAX & HIGHER,ORTHOPAEDICS
7000367,SOUTH WEST,LAGOS,SURULERE,PRIMUS HOSPITAL,"272, IJESHA ROAD, SURULERE",D,ALL PLANS ,GENERAL MEDICINE
7000892,SOUTH WEST,LAGOS,AJEGUNLE,PRINCE AND PRINCESS HOSPITAL,"191 OJO ROAD, LIGALI BUS STOP, AJEGUNLE-APAPA, LAGOS",D,ALL PLANS ,GENERAL MEDICINE
7000892,SOUTH WEST,LAGOS,EGBEDA,PRINCE AND PRINCESS HOSPITAL,"1ST AVENUE, ROAD 12, GOWON ESTATE, EGBEDA",D,ALL PLANS ,GENERAL MEDICINE
90128741,SOUTH WEST,LAGOS,SHOMOLU,PRINCE OF PEACE HOSPITAL,"41 ANIFOWOSE STREET, LAGOS, NIGERIA",D,ALL PLANS ,GENERAL MEDICINE
4000062,SOUTH WEST,LAGOS,YABA,PROCARE VISION EYE CLINIC,"68,QUEEN STREET,YABA,LAGOS",B,MAX & HIGHER,OPTICAL
91228068,SOUTH WEST,LAGOS,YABA,PROCEPT EYE CLINIC,"34 IWAYA ROAD, ONIKE, YABA, LAGOS",D,ALL PLANS ,OPTICAL
7000623,SOUTH WEST,LAGOS,DOPEMU,PROMISE HOSPITAL,"132 DOPEMU ROAD, AGEGE LAGOS",D,ALL PLANS ,GENERAL MEDICINE
40028009,SOUTH WEST,LAGOS,OJUELEGBA,PROVIDENCE OPTOMETRIC CLINIC,"6 PEARSE STREET, OFF OJUELEGBA ROAD, YABA",D,ALL PLANS ,OPTICAL
45028038,SOUTH WEST,LAGOS,SURULERE,PULPCARE DENTAL CLINIC,"NO 1 ADERIBIGBE STREET, OGOSCO BUS STOP, KILO, SURULERE",B,MAX & HIGHER,DENTAL
90129202,SOUTH WEST,LAGOS,IKEJA,PUREHEART WELLNESS SOLUTION,"48, OLUWALEIMU STREET, OFF LADIPO KUKU STREET, STANBIC IBTC BANK, ALLEN",D,ALL PLANS ,GENERAL MEDICINE
6000073,SOUTH WEST,LAGOS,VICTORIA ISLAND,Q-LIFE CLINIC,"PLOT 155A PRINCE ADE ODEDINA STREET, OFF SINARI DARANIJO, V/ISLAND ",A+,MAGNUM,GENERAL MEDICINE
7000886,SOUTH WEST,LAGOS,SURULERE,QUALITY MEDICARE DAY CLINIC,NO 1 EKOLOLU STREET SURULERE,D,ALL PLANS ,GENERAL MEDICINE
90128235,SOUTH WEST,LAGOS,IGANDO,QUEEN STELLA SPECIALIST HOSPITAL,20 WAIDI ADEYEMI CRESCENT AKESAN,D,ALL PLANS ,GENERAL MEDICINE
91228006,SOUTH WEST,LAGOS,IKOYI,QUEENS EYE HOSPITAL LIMITED,"10 UDI STREET, OSBORNE FORESHORE ESTATE, PHASE ONE, IKOYI",D,ALL PLANS ,OPTICAL
6800082,SOUTH WEST,LAGOS,MAGODO,QUEENS SPECIALIST HOSPITAL,"3 CMD ROAD, MAGODO",C,PRO & HIGHER,GENERAL MEDICINE
90129035,SOUTH WEST,LAGOS,IKOTA,QUEENSWAY HOSPITAL,"KM 15, LEKKI EPE EXPRESSWAY, IKOTA, LAGOS",D,ALL PLANS ,GENERAL MEDICINE
90128421,SOUTH WEST,LAGOS,SURULERE,QUICKCARE CLINIC (8AM -4PM),"HMA BUILDING, 126 BODE THOMAS STREET",D,ALL PLANS ,GENERAL MEDICINE
7000371,SOUTH WEST,LAGOS,IKEJA,R JOLAD EXPRESS (DAY CLINIC ONLY),"SHOP 4, JARA MALL, SIMBIAT ABIOLA WAY, IKEJA",B,MAX & HIGHER,GENERAL MEDICINE
7000371,SOUTH WEST,LAGOS,SHOMOLU,R JOLAD EXPRESS (DAY CLINIC ONLY),"21, BAWAALA STREET, GBAGADA, LAGOS",B,MAX & HIGHER,GENERAL MEDICINE
90128561,SOUTH WEST,LAGOS,AGEGE,R JOLAD EXPRESS (DAY CLINIC ONLY),"7 OLAWOYIN STREET, AGEGE. SITUATED CONVENIENTLY BENEATH THE NEW PEN CINEMA BRIDGE, OPPOSITE BOLUKE PHARMACY",B,MAX & HIGHER,GENERAL MEDICINE
90128561,SOUTH WEST,LAGOS,IPAJA,R JOLAD HOSPITAL AGEGE,"PLOT 23/24 OMOTOYE ESTATE ROAD OFF IPAJA ROAD, MULERO BUS-STOP, ORILE-AGEGE, LAGOS",B,MAX & HIGHER,GENERAL MEDICINE
7000371,SOUTH WEST,LAGOS,BARIGA,R JOLAD HOSPITAL GBAGADA,"1, AKINYEDE STREET, BY NEW GARAGE BARIGA, LAGOS",B,MAX & HIGHER,GENERAL MEDICINE
6500076,SOUTH WEST,LAGOS,AJAO ESTATE,R JOLAD HOSPITAL(KUPA MEDICAL CENTRE),"7 OLABODE STREET, AJAO ESTATE",B,MAX & HIGHER,GENERAL MEDICINE
7000634,SOUTH WEST,LAGOS,GBAGADA,R JOLAD PLUS HOSPITAL,10-14 SAFURATU SEKONI STREET GBAGADA LAGOS,A,PROMAX & HIGHER,GENERAL MEDICINE
4500035,SOUTH WEST,LAGOS,FESTAC TOWN,RABBONI DENTAL,"SUITE 22/23 ULTIMA PLAZA, 21 ROAD, FESTAC TOWN, LAGOS",A,PROMAX & HIGHER,DENTAL
4500128,SOUTH WEST,LAGOS,VICTORIA ISLAND,RABBONI DENTAL VI,"MELROSE PLACE, GROUND FLOOR, ROYAL EXCHANGE HOUSE, VICTORIA ISLAND, LAGOS, NIGERIA",A,PROMAX & HIGHER,DENTAL
90128760,SOUTH WEST,LAGOS,FESTAC TOWN,RABBONI HOSPITALS LIMITED,"3RD AVENUE D CL, HOUSE 14 FESTAC TOWN",B,MAX & HIGHER,GENERAL MEDICINE
4000106,SOUTH WEST,LAGOS,VICTORIA ISLAND,RADIANT OPTICS                                              ,"73 ADEOLA ODEKU ST, VICTORIA ISLAND, LAGOS",B,MAX & HIGHER,OPTICAL
4000106,SOUTH WEST,LAGOS,LAGOS - ISLAND,RADIANT OPTICS BROAD STREET,"88/92 BROAD ST, LAGOS ISLAND, LAGOS",C,PRO & HIGHER,OPTICAL
4000106,SOUTH WEST,LAGOS,IKEJA,RADIANT OPTICS IKEJA,"103 ALLEN AVE, OMOLE PHASE 1, IKEJA",C,PRO & HIGHER,OPTICAL
4000106,SOUTH WEST,LAGOS,IKOYI,RADIANT OPTICS IKOYI,"152 AWOLOWO RD, IKOYI, LAGOS",C,PRO & HIGHER,OPTICAL
90129021,SOUTH WEST,LAGOS,SURULERE,RAHEEM SPECIALIST HOSPITAL,"34, OYEKAN ROAD, OFF AKERELE ROAD, SURULERE",D,ALL PLANS ,GENERAL MEDICINE
6500095,SOUTH WEST,LAGOS,LEKKI,RAINBOW SPECIALIST MEDICAL CENTRE,"11C BABATUNDE ANJOUS OFF ADMIRALTY WAY,LEKKI PHASE 1,LEKKI ,LAGOS",B,MAX & HIGHER,GENERAL MEDICINE
91228013,SOUTH WEST,LAGOS,SURULERE,RAPHA EYE CARE,"66A, TEJUOSHO STREET, SURULERE",D,ALL PLANS ,OPTICAL
