LIST OF PRIMARY HEALTH CARE CENTERS (PHCCs) IN LAGOS STATE,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
,107,,,ODORAGUNSHIN,MOJODA  PHC  ,"ALONG IJEBU –ODE ROAD BESIDE PETROL FILLING STATION, MOJODA", 
,108,,,IBOWON,IBOWON PHC   ,"BESIDE IBOWON  PRY SCHOOL,IBOWON", 
8,109,ETI OSA LGA,ETI OSA LGA,IGBOEFON/MAIYEGUN,IGBOEFON PHC,"11,BAALE STR, IGBOEFON", 
,110,,,IGBOEFON/MAIYEGUN ,GBARA MAIYEGUN HP,GBARA-MAIYEGUN COMMUNITY., 
,111,,,MAROKO,IKOTA PHC," 2ND GATE IKOTA, BESIDE OANDO FILLING STATION", 
,112,,,IKATE LEKKI,IKATE PHC,"5, IKATE ELEGUSHI RD, ",COMPREHENSIVE
,113,,,ILASAN ORILE,S.A ILASAN AYEYEMI PHC,"POLICE STATION ROAD,ILASAN HOUSING ESTATE, JAKANDE", 
,114,,,AJIRAN/OSAPA,AJIRAN HP,AJIRAN TOWN, 
,115,,ETI OSA EAST LCDA,ADDO LANGBASA ,ADDO PHC,"ADDO-LANGBASA COMMUNITY, OWODE CENTRE", 
,116,,,AJAH ,AJAH PHC,"BAALE STREET, AJAH MARKET", 
,117,,,BADORE OKEIRA ,BADORE PHC,"BADORE ROAD,BESIDE BADORE MODEL COLLEGE.",COMPREHENSIVE
,118,,,SANGOTEDO,SANGOTEDO PHC,SANGOTEDO COMMUNITY, 
,119,,,OKUNMOPO/OGOMBO ,OKUNMOPO PHC,"OKUNMOPO AKINLADE, OKUNMOPO. ", 
,120,,,OKUNMOPO/OGOMBO ,OGOMBO HP,OGOMBO COMMUNITY, 
,121,,IRU VI LCDA,1004 ABOYADE ,ORIYANRIN PHC,"1-2, MURI OKUNOLA STR. V.I",COMPREHENSIVE
,122,,,APESE ,ONIRU PHC," WATER COOPERATION, ONIJEGI, V.I ", 
,123,,,TARKWABAY,TARKWABAY HP,TARKWABAY VILLAGE, 
,124,,IKOYI OBALENDE LCDA,OBALENDE,OBALENDE PHC,"OBALENDE MAMI MARKET, BESIDE DODAN BRKS,OFF KEFFI ROAD.",COMPREHENSIVE
,125,,,IJEH,IKOYI PHC,"2, CARDINAL OLUBUNMI OKOJIE ROAD, IKOYI", 
9,126,IBEJU/LEKKI LGA,IBEJU/LEKKI LGA,IBEJU I,IBEJU PHC," OPPOSITE SUBEB OFFICE, IBEJU-AGBE COMMUNITY",COMPREHENSIVE
,127,,,IBEJU II,OKO-OBA HP,ELERAN-OGBE TOWN, 
,128,,,IBEJU II,AYETEJU PHC,AYETEJU TOWN, 
,129,,,IWEREKUN I,AWOYAYA  PHC 1,"SANNI ST, AWOYAYA COMMUNITY TOWN", 
,130,,,IWEREKUN I,AWOYAYA PHC 2,"ABULE PARAPO COMMUNITY TOWN, AWOYAYA, IBEJU LEKKI", 
,131,,,IWEREKUN I,LAKOWE PHC,LAKOWE TOWN BESIDE THE SECOND SCHOOL, 
,132,,,IWEREKUN II,OTUNLA PHC,OTUNLA TOWN, 
,133,,,IWEREKUN II,BOGIJE PHC,OPP.RCM PRY.SCH. BOGIJE, 
,134,,,IWEREKUN II,ARAPAGI H/POST,ARAPAGI TOWN, 
,135,,,ORIMEDU III,SOLU-ALADE PHC,SOLU-ALADE TOWN, 
,136,,,ORIMEDU III,DEBOJO PHC,OKUN-DEBOJO TOWN, 
,137,,,ORIMEDU II,IBEREKODO PHC,BESIDE RCM PRY.SCH.IBEREKODO, 
,138,,,ORIMEDU I,ORIMEDU PHC,ORIMEDU COMMUNITY TOWN, 
,139,,LEKKI LCDA,ISE IGBOGUN,OKUN ISE PHC,"FROM FOLU BUS-STOP, BRANCH TO ISE, 2 MILES FROM FOLU TOWNSHIP", 
,140,,,ISE IGBOGUN,ABOREJI PHC,"BETWEEN BOUNDARY OF IBEJU AND OGUN STATE, ALONG TOTAL, ABOREJI TOWN", 
,141,,,LEKKI II,MAGBON-SEGUN PHC,"ALONG ELEKO ROAD, BETWEEN LEKKI TOWNSHIP, MAGBON-SEGUN TOWN", 
,142,,,LEKKI II,IDASHO PHC,IDASHO TOWN, 
,143,,,LEKKI II,IDOTUN PHC,IDOTUN TOWN, 
,144,,,LEKKI II,OKUNRAYE PHC," ALONG LEKKI EXPRESS ROAD, ELEKO JUNCTION, OKUNRAYE TOWN BESIDE PRY SCH", 
,145,,,LEKKI I,OSOROKO PHC,"OSOROKO TOWN,ALONG ELEKO ROAD", 
,146,,,LEKKI I,LEKKI PHC,"LEKKI RD, INSIDE LEKKI TOWN AT THE BACK OF THE LCDA SEC.",COMPREHENSIVE
,147,,,SIRINWON /IGBEKODOII,APAKIN PHC,"ALONG LEKKI ROAD,INSIDE APAKIN TOWNSHIP FACING THE OCEAN ", 
,148,,,SIRINWON /IGBEKODOII,FOLU PHC," ALONG ELEKO ROAD, AFTER APAKIN, FOLU BUSTOP", 
,149,,,SIRINWON /IGBEKODOII,IGBO-OLOMI PHC,"FROM ELEKO TO OTTO, 3 MILES TO IGBOLOMU ", 
,150,,,SIRINWON/IGBEKODO I, IDEH PHC                       ,LEKKI TOWN (EBUTTE) CROSS RIVER BY BOAT TO IDEH, 
10,151,IFAKO-IJAIYE LGA,IFAKO-IJAIYE LGA,IJAIYE OKE IRA,AINA AJOBO PHC,"1,OLUWATOYIN SRT.OGBA", 
,152,,,IFAKO COKER,IFAKO PHC,"AFRICAN CHURCH RD, COLLEGE BUSTOP, IFAKO",COMPREHENSIVE
,153,,,IJU ISHAGA,IJU PHC,"1 LADIPO AVENUE, LONLO BUSTOP ALONG IJU ISHAGA RD,IJU", 
,154,,,IJU OBAWOLE,OBAWOLE PHC,"ASABI TAIWO ST, OBAWOLE COMMUNITY", 
,155,,,OGUNDIMU ,OGUNDIMU PHC,"Kayode st, Cele B/Stop, Ajuwon Road", 
,156,,OJOKORO LCDA,AGBADO OJOKORO,AGBADO/KOLA PHC,"NURENI YUSUF RD,KOLA BUSTOP,AGBADO",COMPREHENSIVE
,157,,,AGBADO DALEMO,ABULE TITUN PHC,"4, SOBIYE CLOSE.GBADABIU,OFF LAMINA GANIYU", 
,158,,,ILO AJEGUNLE,ILO AJEGUNLE PHC,"CAROLINE ESTATE, AJEGUNLE", 
,159,,,IJAIYE / GBIRINMI,ISOKAN PHC,"TEMPLE RD, OLANIYI B/STOP, ISOKAN IJAIYE", 
,160,,,IJAIYE / GBIRINMI,ADESOLA PHC,"2 ADEMOLA ST, BAALE ADESOLA, GBIRINMI", 
,161,,,IJAIYE OJOKORO,OJOKORO PHC,ABRAHAM ADESANYA  ESTATE, 
11,162,IKEJA LGA,IKEJA LGA,ALAUSA,ALAUSA PHC,"3, KADIRI STR. ALAUSA, LAGOS", 
,163,,,ANIFOWOSHE,IKEJA PHC,"19, AWOLOWO WAY, BEHIND IKEJA SHOPPING COMPLEX, IKEJA", 
,164,,,ONILEKERE,ONILEKERE PHC,"11 OGUNSOLU STREET, CEMENT BUS-STOP, IKEJA",COMPREHENSIVE
,165,,,ONILEKERE,ONIPETESI HP,"KOKORO HOUSE, ADEPEJU ST, MONGORO", 
,166,,,SERIKI ARO,ADENIYI JONES PHC,"2 KUDETI, STR, AKORA ESTATE, ABA JOHNSON BUS STOP, ADENIYI JONES, IKEJA", 
,167,,ONIGBONGBO LCDA,OREGUN,OREGUN PHC ,"32/34, KUDIRAT ABIOLA WAY, OREGUN, LAGOS",COMPREHENSIVE
,168,,,ONIGBONGBO,ONIGBONGBO PHC,"5, AKERELE LANE, ONIGBONGBO MARYLAND, IKEJA.", 
,169,,,GRA,BEKO RANSOME-KUTI PHC,"INSIDE IKEJA POLICE COLLEGE, OPP. POLICE STAFF CLINIC, OBA AKINJOBI WAY,GRA, IKEJA", 
,170,,,ALADE,BOLA AHMED TINUBU PHC (FORMER ALADE PHC),"18,ORITSHE STREET,OFF AWOLOWO WAY IKEJA", 
,171,,,WASIMI,WASIMI PHC,"INSIDE WASIMI PRY SCHOOL,ADEYEMI ADEOYE STR. WASIMI, MARYLAND, IKEJA.", 
,172,,,OLUSOSUN,OLUSOSUN PHC. ,"INSIDE OLOSOSUN PRIMARY SCHOOL COMPUND, OLUSOSUN, KUDIRAT ABIOLA WAY, OJOTA, LAGOS.", 
,173,,,OPEBI,ABULE ONIGBAGBO PHC (FORMER OPEBI PHC),"INSIDE BOLA MEMORIAL PRIMARY SCHOOL, MOBOLAJI BANK ANTHONY WAY, IKEJA", 
,174,,,OPEBI,OPEBI PHC,"1, AJANAKU ST, AWUSE ESTATE, OPEBI", 
,175,,OJODU LCDA,OJODU,OJODU PHC ,"31, GBADAMOSI STREET, OJODU",COMPREHENSIVE
,176,,,OGBA ,OGBA PHC ,"UMARU SARO DRIVE INSIDE OLUREMI-TINUBU VOCATIONAL TRAINING CENTRE, OPPOSITE OGBA RETAIL MARKET", 
,177,,,OKE IRA POWERLINE,OKE IRA POWERLINE PHC ,"6 OKE IRA POWERLINE RD, OKE IRA, OGBA", 
,178,,,AKIODE ,AKIODE PHC,"5, BAKARE CLOSE, AKIODE, AGINDIGBI", 
