CODE,STATE,TOWN,NAME,ADDRESS,PLAN
7000857.0,RIVERS,PORT HARCOURT,ANSETT HOSPITAL GYM,INSIDE ANSETT DIAGNOSTIC HOSPITAL,ALL PLANS
,RIVERS,PORTHARCOURT,BODYBOOST GYM,PLOT F6 SANI ABACHA ROAD GRA PHASE 3,ALL PLANS
80028115.0,RIVERS,PORTHARCOURT,CHALIES TOTAL FITNESS,"PLOT 56/57 SRADIUM ROAD, RUMUOLA PORTHARCOURT",PRO & HIGHER
80028060.0,RIVERS,PORT HARCOURT,GO WELLNESS GYM,23/25 NEMBE ROAD RUMUIBEKWE PORTHARCOURT,ALL PLANS
,RIVERS,PORT HARCOURT,IMAGE GYM,"JOFEL CLOSE, NO. 1 ADAGEORGE ROAD OPPOSITE ARCANIA PLACE ",ALL PLANS
80028181.0,RIVERS,PORT HARCOURT,MAISON WELLNESS PLACE,"23, WOJI GRA ROAD, 2ND CREEK ROAD, WOJI TOWN, GRA ROAD PH",ALL PLANS
80028106.0,RIVERS,PORT HARCOURT,PEE FITNESS,"BY YKC JUNCTION, WOJI ROAD, TRANS AMADI, PORT HARCOURT, NIGERIA",PROMAX & HIGHER
80028175.0,RIVERS,PORT HARCOURT,WHITESTONES HOTEL AND RESORT GYM,"WHITESTONE HOTEL, ORDU AVAENU, OPP. OMEGA HOUSE, PORT-HARCOURT, NIGERIA",PRO & HIGHER
80028146.0,RIVERS,ONNE,KAL CLASSIC HOTEL GYM FITNESS CENTRE PORT HARCOURT,BEHIND NATION PLAZA FOT NAFCON ROUND ABOUT ONNE RIVERS STATE,
80028077.0,RIVERS,PORT HARCOURT,RAPHA GYM,158 RUMUEPIRIKOM/IWOFE  ROAD RUMUEPIRIKOM PORTHARCOURT,ALL PLANS
80028071.0,RIVERS,PORT HARCOURT,SANS FRONTIER GYM,25 OLD ABA ROAD RUMUOGBA ,ALL PLANS
80028104.0,RIVERS,PORT HARCOURT,ZOOTZITTI FITNESS,"TACO PLAZA, NO. 92 PETER ODILI ROAD, OPP. TRANS AMADI GARDENS",ALL PLANS
80028104.0,RIVERS,PORT HARCOURT,ZOOTZITTI FITNESS,RUMUIBEKWE HOUSING ESTATE PORT HARCOURT,ALL PLANS
80028104.0,RIVERS,PORT HARCOURT,ZOOTZITTI FITNESS,"NO. 19 HERBERT MACAULAY STREET, OLD GRA PORT-HARCOURT",ALL PLANS
80028191.0,SOKOTO,SOKOTO,PINNACLE GYM SOKOTO,PINNACLE GUEST IN AND RESORT ALONG EASTERN BYPASS OLD AIRPORT DAMBUWAFILIN JIRGI,ALL PLANS
8000013.0,YOBE,YOBE,CEDAR GYM,"PLOT 38, DAMATURU RESIDENTIAL LAYOUT, DAMATURU",ALL PLANS
