Provider,claim_count,Amt Paid_total,Units Paid_total
Renaissance Medical                                         ,12,302858.75,15.0
ROYAL SMILE DENTAL CLINIC,12,153000.0,15.0
PEROFAK EYE CLINIC,11,122000.0,11.0
Best Care Hospital,11,22706.0,64.0
All Smiles Dental Clinic,11,95000.0,18.0
VISION AIDS EYE CLINIC,11,157190.0,28.0
Lana Hospital ,11,59479.42,68.0
ELI JOHNSON SPECIALIST HOSPITAL,11,23599.0,100.0
Smile360 Dental Specialists Abuja,11,261950.0,14.0
STRICTLY RED LTD,11,1674000.0,87.0
St Edmund Eye Clinic,11,81000.0,12.0
Westwind Hospital and Maternity,11,24454.5,54.0
CELON DENTAL CLINIC,11,340000.0,37.0
SIGNATURE SMILES CLINIC,11,177000.0,13.0
PHYSIOFORTE PHYSIO CLINIC LTD,10,51000.0,10.0
PHARMACY BENEFIT PROGRAMME ABUJA,10,61000.0,26.0
Peak Eye Care GRA IKEJA,10,19910.0,6978.0
PRIME GYM AND SPA RESOURCE   ,10,10000.0,2009.0
SAGE DIAGNOSTIC SERVICES LIMITED,10,56900.0,10.0
Crestview Radiology VI (Referrals Only)                                     ,10,110830.0,10.0
Hilton Dental Serv and Consulting Ltd,10,98000.0,12.0
JUBILEE HOSPITAL,10,10768.25,47.0
SPRINGCARE PHARMACY LIMITED GBAGADA,10,27360.0,10.0
TOOTH ANGEL DENTAL CLINIC,10,96500.0,19.0
Metro Urgent Care Hospital MUCH,10,16064.16,61.0
Tent Of Life Specialist Clinic,10,119000.0,10.0
Dialyzer Medical Centre,10,80008.05,140.0
LUXTERRA EYE CLINIC,10,214000.0,12.0
FIRST CARDIOLOGY CONSULTANTS,10,200347.0,24.0
HOPEVILLE MAX CLINICS ,10,40313.51,36.0
The Chrane Hospitals Limited,9,10310.0,74.0
TOLA CRESCENT MEDICAL CENTRE,9,16555.0,58.0
ST. MARY MOTHER OF MERCY HOSPITAL,9,11124.6,65.0
ICONIC HOSPITAL  ,9,20729.5,46.0
ROMIVIC SPECIALISTS HOSPITAL,9,8536.0,55.0
WESTEND HOSPITAL WARRI                                      ,9,17050.8,73.0
First Alpha Medical Centre                                 ,9,81500.0,18.0
BIO SYSTEMS MEDICAL DIAGNOSTICS,9,56355.0,9.0
FOREMOST RADIOLOGY CONSULTANTS LIMITED,9,176475.0,9.0
Grace Hospital,9,4490.0,50.0
AUXANO EYE CLINIC,9,107120.0,38.0
Broad Places Radiology Ltd,9,56400.0,9.0
MORNINGSIDE SPECALIST CLINIC,8,62699.19,21.0
CARNAMED SPECIALIST CLINIC,8,13107.5,47.0
Orthoplus Dental Clinic,8,75500.0,9.0
NOVEL HOPE MEDICAL AND FERTILITY CLINIC,8,59810.0,23.0
VASTOVERS LTD GBAGADA,8,62400.0,232.0
PURE LIFESTYLE PHARMACY,8,49870.0,8.0
ABSOLUTE CARE HOSPITAL,8,12490.5,12.0
Haven Dental Clinic,8,183500.0,10.0
HEDA HOSPITAL,8,0.0,220.0
Georges Memorial Medical Centre,8,123500.0,8.0
BRIDGE DENTAL CLINIC,8,122500.0,13.0
Vista Eye Centre,8,99970.0,42.0
Euracare Multipecialist Hospital,7,153160.0,17.0
BSA HEARING AND SPEECH CENTRE,7,112000.0,7.0
OPTOVILLE EYE CARE,7,114545.0,19.0
EYE FOUNDATION IKEJA(SUMMIT HEALTHCARE HOSPITAL LIMITED),7,501100.0,8.0
First Mercy Specialist Hospital                             ,7,50750.0,65.0
Standard Optical Ltd,7,106000.0,15.0
BEAM DENTAL CLINIC,7,202000.0,25.0
BEACONHEALTH DIAGNOSTICS IKEJA,7,34953.5,7.0
DIAMED MEDICAL CENTRE LIMITED,7,534080.0,20.0
INSIGHT PLUS HEALTHCARE LTD,7,183536.25,7.0
Kanayo Specialist Hospital                                  ,7,23211.3,13.0
Tos Dental Clinic,7,72000.0,9.0
FITNESS PLUS YABA,7,14000.0,7.0
FEDERAL TEACHING HOSPITAL GOMBE,7,11281.0,90.0
Sophike Medical Centre,7,11368.8,54.0
Solid Rock Specialist Eye Clinic,7,86500.0,8.0
CREST HOSPITAL LAGOS,6,13031.0,38.0
CRESTVIEW RADIOLOGY IGBOBI(Referrals only),6,218287.5,6.0
HAVILAH HOSPITAL,6,7297.5,43.0
GALAXY GYM PORT HARCOURT,6,12000.0,6.0
ARISTOOTHCRAT DENTAL CLINIC,6,16000.0,6.0
Haven Opticals Ltd,6,102500.0,23.0
Rivet Specialist Hospital,6,10702.0,24.0
Living Heart Specialist Hospital,6,151000.0,6.0
CEDAR EYE CLINIC,6,63025.0,16.0
Maycentral Healthcare Limited (Immunization Clinic),6,125000.0,6.0
Anchormed Hospital,6,4030.0,65.0
Advantage Health Africa,6,14385.0,10.0
VATICAN BELLS PHARMACY IDI ARABA,6,21069.0,64.0
BEACONHILL SMILE CLINIC- IKEJA,6,34250.0,7.0
Sonabel Medical Centre,6,6682.5,22.0
ZOE EYE PLACE ,6,108000.0,6.0
D BETTERLIFE MEDICAL CENTER,6,6627.5,30.0
Joebong Medical And Skin Centre,6,12398.2,43.0
RCCG Health Centre,6,54785.5,61.0
PRETTY SMILE DENTAL CLINIC LTD,6,90500.0,10.0
Icare Family Vision Center Ltd,6,178000.0,14.0
PERFECT IMAGE EYE CARE,6,116800.0,10.0
PHOENIX DERMA AESTHETICS AND LASER CLINIC ,6,75000.0,6.0
Prandelli Dental clinic,6,153000.0,6.0
MICEL HOSPITAL,6,24822.0,64.0
Beyond Smile Dental Clinic Ketu,6,33000.0,6.0
LABELLE DENTAL PH,6,266000.0,12.0
Nobsams Hospital,6,0.0,49.0
CARE FRIENDS DIAGNOSTIC LIMITED,6,46865.0,6.0
MYRA EYE CENTRE,6,66344.5,19.0
Cozar Specialist Hospital ,5,17980.0,36.0
LASER MED DENTAL CLINIC,5,76500.0,7.0
VIEW FINDER EYE CLINIC ,5,100000.0,13.0
ZOOM EXCLUSIVE LAGOS FORMERLY ZOOM 36 DENTAL CLINIC,5,164000.0,5.0
BEST CHOICE CLINIC AND MATERNITY,5,11105.0,5.0
VATICAN BELLS PHARMACY SURULERE,5,184860.0,15.0
TOTEM PHARMACY VICTORIA ISLAND,5,66200.0,8.0
METRO EYE CLINIC RINGROAD IBADAN ,5,96500.0,11.0
MIZPAH MEDICAL CENTRE ,5,3234.5,22.0
Schubbs Dental Ikoyi,5,129500.0,5.0
FOUNTAIN MEDS PHARMACY LEKKI,5,26900.0,5.0
ALIMOSHO GENERAL HOSPITAL,5,12368.65,89.0
ABUJA CLINICS NIGERIA LTD,5,73979.11,40.0
Standard Specialist Hospital Kano,5,6056.65,5.0
INTERNATIONAL CLAIMS,5,73855.0,17.0
SHALINA DIAGNOSTICS LAGOS,5,62450.0,5.0
SOZO-DUNAMIS DENTAL UYO,5,46500.0,7.0
