Provider,claim_count,Amt Paid_total,Units Paid_total
BRYMED EYECARE CENTRE,95,489400.0,69.0
LIVINGSTON SPECIALIST HOSPITAL,94,325826.5,671.0
OPTIKA EYE CLINIC,94,525425.0,41.0
VIRTUAL HOSPITAL KADUNA,93,270541.1,310.0
Al-Azeez Medical Centre,93,82308.7,296.0
Ocuville Eye,91,272430.0,128.0
AYOKEMI HOSPITAL AND MATERNITY (JUNE HOSPITAL VENTURES),91,268284.05,944.0
ONYEMS B HOSPITAL,91,366680.5,13020.0
Anchormed Hospital,90,192715.0,457.0
Khadijat Memorial Hospital Kano,88,146747.25,515.0
ADELOM MEDICAL CENTRE,86,268313.65,323.0
Utmost Care Hospital,85,218905.12,796.0
Metro Eye Clinic Adamasingba,82,511300.0,13797.0
GOOD TIMES MEDICAL CENTER,82,148783.0,418.0
Morning Star Hospitals,81,371319.25,697.0
BUENA SALUTE CLINIC,81,886420.475,164.0
CENTRAL SPECIALIST HOSPITAL OTA,80,175614.5,447.0
TOBI MEDICAL CENTRE LTD OYO,80,201900.75,504.0
SPECVISION EYE CARE,80,313150.0,80.0
Gods Apple City Hospital Mowe,80,137722.15,314.0
Giltooe-Aris Hospital                                      ,80,54631.5,446.0
Tim Unity Specialist Hospital And Eye Centre,80,213652.6,507.0
GCEM Hospital,79,142730.65,489.0
Afrimed Ogp Specialist,79,155084.0,234.0
New Boshang Clinic & Maternity Ltd,79,208810.15,510.0
Landmark Hospital Ikorodu,79,201591.2,0.0
LIFENEST HOSPITAL LIMITED,78,222263.0,362.0
PANOX HOSPITAL,78,794141.25,0.0
"TRIOSES MEMORIAL HOSPITAL, OYO",77,105515.4,547.0
MEDIBAM MEDICAL CENTRE,76,126465.75,40.0
PREMIER CARE DIAGNOSTICS,76,544250.8,26.0
Faithcity Hospital Ajao,75,766373.84,377.0
Mercy Stripes Specialist Hospital,75,333606.0,423.0
Top notch Medicare Hospital,75,513148.2,714.0
Kingsword Hospital,75,187886.35,563.0
ST MARYS HOSPITAL AND MATERNITY ENUGU,75,267832.1,513.0
St Edward Hospital ,74,333331.3,400.0
Havana Hospital,74,976746.8,256.0
Balda Hospital Ltd,73,96481.8,0.0
Metro Urgent Care Hospital MUCH,73,109689.95,248.0
REDEMPTION HOSPITAL,73,203349.24,231.0
GRANDVILLE MEDICAL CENTRE SURULERE,72,719648.53,489.0
Yanga Dental Clinic ,72,758000.0,20.0
Lota Medical Centre                                         ,72,288829.49,0.0
ARCHMEDICS HOSPITAL,72,87197.5,193.0
BMM HOSPITAL,71,154940.2,169.0
Mount Horeb Specialist Hospital Kaduna                        ,71,135893.7,58496.05
GODFREY HOSPITAL,70,417125.0,295.0
Broad Places Radiology Ltd,70,973040.0,8.0
HEPHZIBAH EYECARE LTD - IBADAN,70,460300.0,70.0
Springhill Hospital and Pathology Services,70,113819.33,285.0
RAPHA EYE CLINIC,70,240772.5,0.0
QUEENS HOSPITAL ILARO LIMITED,68,150471.25,0.0
Mgk Healthcare,68,184592.83,11899.0
Eyemasters Limited,67,289247.5,14757.5
MYVISION OPHTHALMIC EYE CLINIC ,67,255870.0,76503.0
MEV Specialist Hospital,67,264084.2,173.0
Open Door Hospital,66,162656.65,356.0
BABCOCK UNIVERSITY TEACHING HOSPITAL,66,793130.5,566.0
A HARMONY HOSPITAL,66,194111.5,0.0
Kingsmith Hospital and Maternity Ltd,66,123924.75,340.0
Bakor Medical Centre,65,169459.89,264.0
Divine Dental Home Ikorodu,65,722000.0,134033.0
THE SHEPHERD MEDICAL CENTRE                                 ,65,329700.0,251.0
OPTIMAL SPECIALIST HOSPITALS LTD,65,271978.75,0.0
Osborn Hospital,64,114108.65,267.0
AMAZING HEART CENTRE,64,747000.0,34.0
Royal Pinnacle Hospital,64,227152.26,18.0
Fidei Eye Centre Limited,63,246850.0,5.0
Madonna Hospital Benue,63,147585.0,18172.0
SUSPENDED TIP TOP SOLUTION HOSPITAL,62,214170.85,369.0
Reimbursement,62,2981599.17,395.0
MERCY GROUP ABEOKUTA,62,228551.15,133.0
Ikeja Medical Centre,62,160340.0,314.0
Goodseed Specialist Clinics,62,107401.0,240.0
Hilton Dental Serv and Consulting Ltd,62,502500.0,52.0
Aisyl Eye Clinic,61,278732.5,488.0
D BETTERLIFE MEDICAL CENTER,61,91871.7,17.0
Preston Hospital,61,46400.0,133.0
FLOURID HOSPITAL,61,208872.3,18681.25
BEATRICE MEDICAL CENTRE MAT HOME,61,170612.8,114.0
ST EVEREST HOSPITAL,61,363200.0,0.0
Lifesource Hospital,61,68011.17,266.0
SUSPENDED OPTILENS,60,482000.0,21.0
St Raphael Hospital Ltd,60,53944.2,229.0
Lagoon Hospitals - Ikeja,60,232320.15,459.0
BOSE SPECIALIST HOSPITAL,60,105240.1,272.0
Credible Eye Care,58,406000.0,58.0
MEDICENTRE IKEJA,58,97006.03,331.0
CREST HOSPITAL LAGOS,58,137321.4,0.0
PAULATE HOSPITAL LIMITED ,58,61418.25,0.0
Miyetti Hospital Ltd ,57,87886.9,479.0
MEDWIN HOSPITAL,57,133415.17,0.0
Amara Medicare Limited SANGOTEDO,56,596765.0,58.0
OYOMESI HOSPITAL,56,244703.75,255.0
CARE VALUE HEALTH,56,129953.15,0.0
Maneks Hospital Limited                                     ,56,332321.55,326.0
