Provider,claim_count,Amt Paid_total,Units Paid_total
MOTHER MARY CATHOLIC HOSPITAL,25,85315.15,43
Sacred Heart Hospital Abeokuta,24,68715.6,95
STEVANS MEDICAL CENTRE,24,54781.75,166
SAGELIFE LABORATORIES LIMITED,24,734095.0,24
SPRING ROSE HOSPITAL,24,197960.0,75
PHARMACY BENEFIT PROGRAMME BENIN,24,348300.0,948
The Eye Doctors Ikeja (Formerly Crestview Eye),24,228115.0,24
AUSTIN GRACES DENTAL CLINIC,24,165000.0,30
ATLANTIS PEDIATRIC HOSPITAL,24,117571.5,48
Vitalhope Dental Clinic,24,263500.0,46
BOSE SPECIALIST HOSPITAL,24,47536.5,156
TENDALIFE SPECIALIST HOSPITAL,23,87125.2,66
EYEMED EYE CARE,23,69600.0,187
DEAN EYE CARE,23,206290.0,41
DEE MEDICAL CENTRE,23,174793.15,110
Deji Clinic Ketu,23,31762.5,110
Lifeline Children Hospital Surulere                ,23,86250.0,66
R-Jolad Hospital Gbagada,22,225956.78,51
DEBORAH MULTISPECIALIST HOSPITAL,22,214966.45,74
HEALTHCUBE MEDICAL LIMITED,21,114900.0,21
Advantage Health Africa,21,82372.5,45
Victory Life Specialist Hospital,21,107037.1,128
ENT SUPER CARE CLINIC LIMITED,21,2541318.0,80
Faith Hills Specialist Hospital,21,48376.62,119
CERBA LANCET (Clina Lancet),21,344330.0,21
Eyemasters Limited,20,140865.0,120
Brighthouse Dental Clinic,20,1005000.0,31
ASI UKPO DIAGNOSTICS AND MEDICAL CENTRE OGOJA,20,168379.4,65
Peve Dental Clinic Agege,20,213000.0,27
ISWEAT FITNESS,20,60000.0,20
Choice Opticals And Surgical Services Ltd - V.I.,20,134300.0,24
Ladkem Eye Hospital,20,142500.0,23
TOBIS CLINIC AND CONSULTANTS LIMITED BAYELSA,19,97958.32,32
The Eye Specialist Hospital,19,244500.0,37
Tent Of Life Specialist Clinic,19,218381.25,21
Graceland hagwop hospital ,19,40987.2,108
PEACE DENTAL CLINIC YOLA,19,273905.5,88
MADI MEMORIAL HOSPITAL,19,40733.25,223
CARLSANA PHARMACEUTICALS AND STORES LTD,19,51400.0,19
Ocuville Eye,18,187430.0,18
GYM HOUSE IBADAN,18,36000.0,18
PHARMACY BENEFIT PROGRAMME ABUJA,18,6000.0,38
FIRST DOMINION SPECIALIST CLINIC AND MATERNITY,18,44087.95,67
QUEEN STELLA SPECIALIST HOSPITAL,18,59310.0,194
CEDAR CREST HOSPITALS LIMITED LAGOS,18,138834.4,110
Solad Medical Centre,18,28546.5,123
VISION MEDIX EYECARE,17,128557.5,30
Smile360 Dental Specialist                                  ,17,673400.0,24
Oak Hospitals                                               ,17,39761.0,82
OSOGBO CENTRAL HOSPITAL,17,18222.0,47
Breeze Smile Dental Specialist Clinic,17,411500.0,21
Apex Medical Centre,17,45257.14,108
WHYTEVILLE DENTAL CLINIC,17,184000.0,24
MAYRIAMVILLE MEDICAL CENTRE,17,50000.0,121
Kanayo Specialist Hospital                                  ,17,673653.25,38
Duro Soleye Hospitals                                       ,17,187050.0,134
PHARMACY BENEFIT PROGRAMME PHC,17,788100.0,1324
K-MEDICS DIAGNOSTICS KADUNA,16,86000.0,16
Miyetti Hospital Ltd ,16,132460.05,260
LIVINGSTON SPECIALIST HOSPITAL,16,41034.0,102
Cedarcare Hospital,16,83686.3,206
CROWN HOSPITAL NKPOR,16,79106.0,104
CHRISTABIKS HOSPITAL,16,37811.0,61
Group Christian Medical Centre Warri,15,51200.65,128
Broadland Hospital Services Ltd,15,17111.0,95
Foundation Memorial Hospital,15,36411.0,97
EDI INTERNATIONAL HOSPITAL,15,17466.2,160
VIMA  HOSPITAL,15,32707.15,51
Kings Care Hospital Wuse                                     ,15,61274.2,118
Skipper Eye-Q Nigeria Ltd,15,238000.0,26
MADONNA CATHOLIC HOSPITAL UMUAHIA,15,29940.15,40
The Eye Doctors  ,15,190000.0,15
Famacare Clinic,15,100500.0,17
Britaview Eye                                               ,15,71000.0,15
PARKVIEW FMRHOSPITAL,14,14927.5,91
Roberts Dental Clinic,14,138000.0,20
Aniyun ,14,39649.99,50
St Dominic Catholic Hospital                               ,14,18189.75,18
Adetula Optical Services Nig. Ltd                           ,14,77000.0,21
Schubbs Dental Ikoyi,14,452850.0,14
Maycentral Healthcare Limited (Immunization Clinic),14,240500.0,14
ROBIN DIAGNOSTICS,14,98000.0,14
Nene Dental Clinic,13,71000.0,13
AIVEE VISION CARE EYE CLINIC,13,109000.0,14
Hartwell Hospital,13,207616.7,17
Maxi Specialist Ear Nose & Throat Clinic                    ,13,128190.0,101
ONMAC HEALTHCARE SERVICES,13,23500.0,12
UR DENTAL CLINIC   ,13,78000.0,13
Funbi Medical Centre,12,22644.92,80
Metro Eye Clinic Adamasingba,12,118400.0,30
Building Smiles Dental Clinic                               ,12,159500.0,13
Charles Henry Specialist Hospital,12,51215.9,38
PRESTIGE HOSPITAL AND MATERNITY LTD,12,17372.85,56
First Alpha Medical Centre                                 ,12,36240.0,86
Maxiview Eye Clinic,12,129500.0,21
REGAL SPECIALIST WOMENS HOSPITAL,12,793875.0,12
ROYAL AESTHETICS DENTAL CLINIC,12,204000.0,22
RAVE DENTAL CLINIC,12,459000.0,20
Hilton Dental Serv and Consulting Ltd,12,100000.0,12
CITYSCAPE SPECIALIST HOSPITAL ,12,267370.5,62
Joffany Eye Care,12,129500.0,12
SWIFT EYECARE IKEJA CLINIC,12,93000.0,12
Solid Rock Specialist Eye Clinic,12,125000.0,12
BEULAH SPECIALIST HOSPITAL LIMITED,12,62821.46,55
DE KINGS EYES CLINIC,11,116685.0,29
PHARMARUN PHARMACEUTICALS LIMITED   ,11,22519.88,26
Hillstar Clinic Nigeria Limited,11,23295.739999999998,51
Thelish Eye Centre,11,251500.0,17
Talent Specialist Hospital                                  ,11,19273.989999999998,62
Healing Virtues Hospital,11,35800.0,60
ST NICHOLAS MARYLAND,11,68096.0,50
HAVILAH HOSPITAL,11,18125.45,54
Rhino Fitness And Bodybuilding,11,18000.0,11
OLU-OLA SPECIALIST HOSPITAL,11,15840.5,81
Christ Hospital                                            ,10,16120.0,66
Jowako Hospital,10,109500.0,69
Broad Places Radiology Ltd,10,70960.0,10
PRISTINE EYE CARE LIMITED,10,31970.0,10
TABBLOS EYE CLINIC,10,77000.0,19
Krystal Opticals Ltd                                        ,10,73500.0,16
Garki Hospital,10,60850.0,24
HEPHZIBAH EYECARE LTD - IBADAN,10,145000.0,10
HEPHZIBAH EYECARE LTD - IKEJA,10,170000.0,10
GFF EYE CLINIC AND OPTICAL SERVICES,10,70840.0,68
Malens Medcare Ltd,10,60600.0,10
TOBI MEDICAL CENTRE LTD OYO,9,15257.05,45
iHouse optical and dental Agbara,9,212200.0,17
Gods Apple City Hospital Ojodu,9,22464.05,50
Galaxy Dental Centre & Oral Maxillofacial Surgery,9,266000.0,18
MEV Specialist Hospital,9,21861.0,31
Smith Medicare Services,9,41250.0,33
Highland Specialist Hospital                               ,9,27507.5,54
NEW IKEJA HOSPITAL,9,75262.39,68
Regal Dental Clinic International                          ,9,85000.0,9
BABCOCK UNIVERSITY TEACHING HOSPITAL,9,76885.0,40
Beachland Specialist Hospital Arepo,9,61107.75,43
BRYMED EYECARE CENTRE,9,70500.0,16
ONE HEALTH PHARMACY,9,34750.0,10
VICTORIA VESTIGE AND MEMORIAL HOSPITAL LIMITED,9,32368.46,94
ANCILLA CATHOLIC HOSPITAL LAGOS,8,16426.5,37
AILEN EYE CENTRE,8,46325.0,12
ULTIMATE PRIME DENTAL SURGERY LIMITED,8,124000.0,8
Echo Scan Services Limited Wuse Abj,8,45033.37,8
MARLIN DENTAL CLINIC BENIN,8,260000.0,16
Solat Women Hospital,8,14900.0,32
Umezurike Hospital Company Ltd,8,31500.0,66
Yanga Dental Clinic ,8,80000.0,8
Opti-Vue Eyecare Limited                                   ,8,41500.0,8
Edo Central Specialist Hospital,8,70160.0,45
Maternal Child Specialists Clinic                         ,8,10045.0,99
FITPLUS HEALTHCARE LIMITED,8,32670.0,8
Elohim Eye Specialist Clinic,8,113000.0,26
BAY SPECIALIST HOSPITAL MINNA,8,32200.0,8
Cimbak Dental Clinic,7,131500.0,11
SCORPIO VISION EYE CLINIC,7,67430.0,14
ST IVES SPECIALIST HOSPITAL FESTAC,7,29556.0,45
STANDARD LIFE CARE HOSPITAL,7,38070.0,68
Nakowa Specialist Hospital                                  ,7,14275.5,29
ST MACRINA HOSPITAL LIMITED,7,7200.5,108
DAUGHTERS OF CHARITY OF ST. VINCENT DE PAUL HOSPITAL BWARI,7,11340.0,14
PRAISELINE SPECIALIST HOSPITAL AND MEDICAL CENTER,7,497500.0,19
Perle Dental Clinic,7,246000.0,8
GRANDVILLE MEDICAL CENTRE SURULERE,7,33050.0,7
PHARMACY BENEFIT PROGRAMME UYO,7,120750.0,21
St Catherine Specialist Hospital ABUJA,7,15985.0,34
VISION PLANET EYE CLINIC,7,71000.0,15
The Vine Hospital & Maternity,7,6428.7,7
ADEYEMI MEDICAL SERVICES,6,9971.0,14
Beracca Eye Clinic Ltd Lekki,6,92500.0,6
PHARMACY BENEFIT PROGRAMME KADUNA,6,0.0,372
PRICEPOINT PHARMACY LTD,6,14400.0,6
PRIME DENTAL SERVICES LIMITED,6,250000.0,10
OMEC Opeyemi Mega Eye Centre,6,19815.0,6
Lanik Medical Centre,6,5638.0,68
SOTERIA EYE CLINIC LIMITED,6,47790.0,6
Rabboni Dental Clinics Festac,6,84000.0,8
Right Sight Eye Centre,6,32900.0,6
Dental And Maxillofacial Surgery,6,210000.0,20
DAZZLE DENTAL CLINICS,6,21000.0,6
Ikeja Medical Centre,6,14620.0,23
LIFE SPECIALIST HOSPITAL LTD NNEWI,6,30000.0,6
Clearview Hospital,6,573918.0,6
ACHILLES SPECIALIST HOSPITAL,6,16466.5,60
Comprehensive Dental Clinic ,6,60500.0,8
PRIMEHEART MULTISPECIALIST CLINIC,5,39351.0,8
PAULATE HOSPITAL LIMITED ,5,10810.0,15
Family Dental Care,5,260000.0,5
PREMIUM SIGHT LTD,5,18000.0,5
ZERAH EYE HOSPITAL AND LASER CENTER CALABAR,5,20500.0,5
Beaconhill Smile - Victoria Island,5,35000.0,5
The Ridge Dental Practice,5,32000.0,5
Visioncraft Eye Clinic,5,19000.0,5
St Ives Specilaist Hospital Ikoyi,5,74100.0,5
Tos Dental Clinic,5,0.0,7
Ade Tade Hospital                                          ,5,11900.0,40
Royash Dental Clinic,5,139000.0,5
De Favours Dental Clinic,5,100000.0,10
Doren Specialist Hospital                                   ,5,69000.0,5
Queens Specialist Hospital Ltd Ikeja                         ,5,7268.55,28
SILVERSPRING EYECARE,5,59000.0,5
SAMDAV EYE CLINIC AND OPTICAL SERVICES,5,56500.0,14
EVERIGHT DIAGNOSTIC AND LABORATORY SERVICES LIMITED,5,23491.25,5
HOSPITAL FOR TRAUMA AND SURGERY HTS,5,100560.0,127
MARTLAND GYM,5,39000.0,13
Camela Eye Clinic,5,56500.0,14
HELENA EYECARE CENTER LTD,5,62500.0,5
CAREPOINT HOSPITALS EGBEDA,5,14000.0,5
Momoh Memorial Hospital,5,17680.0,22
MANEKS HOSPITAL SABO KADUNA,5,12500.0,5
Kiddiz Medical Centre,5,11784.7,6
Focus Eye Centre                                            ,4,40000.0,6
OPTIMAL SPECIALIST HOSPITALS LTD,4,113148.73999999999,31
OPTIMIST DENTAL CLINIC,4,100500.0,8
